name,x,y
0x008c31e8,20.4506704057,15.2074508364
0x008c3710,20.4701914502,15.2074508364
0x008c3c38,20.4243687705,15.2074508364
0x008c3fa8,24.2694837404,13.032185953
0x008c4160,18.9607615546,6.18783302516
0x008c57b8,18.9228920083,12.5763318129
0x008c6578,6.45170839975,18.5322499018
0x008c4318,6.77343349676,18.3174104831
0x008c6c58,18.4873316344,17.9945352366
0x008c6e10,18.9607615546,6.18595188763
0x008c7180,20.5291649475,15.3025371192
0x008f2f10,20.5423157651,15.2074508364
0x008f30c8,20.5160141299,15.2074508364
0x008c76a8,7.9141558843,18.7267474945
0x008df510,9.043008745890001,18.7184350539
0x008c82b0,7.25596310059,19.1387742224
0x008cda58,6.76281186718,19.1378686395
0x008d84a8,7.25596310059,19.2314680716
0x008c8620,18.9228920083,12.5427915441
0x008dd2a8,19.3071305244,5.27796207667
0x008f1de0,19.3071305244,5.37251575672
0x008c8d00,18.3167361183,6.18910017389
0x008d27d0,18.4777190002,6.18910017389
0x008e4148,18.3167361183,6.18468492368
0x008c9228,19.2889054332,5.21766647133
0x008dd460,18.7572725582,4.20029132906
0x008c9598,18.3167361183,6.1935154241
0x008ccc98,18.4777190002,6.1935154241
0x008c9908,19.4212544959,5.33222668728
0x008d7a58,0,0
0x008ca510,20.3966020982,15.3342310063
0x008cdf80,20.4375195881,15.3342310063
0x008caa38,13.4471832901,6.67577667277
0x008d3070,10.6847470161,7.36378994305
0x008cb2d0,19.9513352604,6.44383930724
0x008d6248,18.6023883039,6.46608691235
0x008cbb68,19.4212544959,5.30092189429
0x008c7f40,18.9607615546,6.19478257283
0x008d6e50,18.9607615546,6.19224846014
0x008cd378,20.4964930854,15.2074508364
0x008d59b0,6.39952891892,19.1659822595
0x008e57a0,6.76545276415,18.9343152173
0x008cddc8,18.9228920083,12.6290387447
0x008d2eb0,20.4375195881,15.3025371192
0x008d6928,20.4833422678,15.3342310063
0x008cf948,20.4833422678,15.3025371192
0x008cfb00,20.4964930854,15.2074508364
0x008d46c8,20.4701914502,15.2074508364
0x008cfcb8,18.4873316344,18.0030509257
0x008d0028,19.3071305244,5.30990617075
0x008d1d80,19.335657357,5.30990617075
0x008d0fa0,9.77003897594,19.1434237827
0x008d7530,9.77308616475,19.0802762668
0x008d16a0,7.69824079123,19.3241619209
0x008c33a0,8.14051848187,20.3660148352
0x008c5b28,19.4212544959,5.30092189429
0x008cb7f8,19.4212544959,5.31888913717
0x008c6208,18.9607615546,6.19036732261
0x008c9e30,18.9607615546,6.18783302516
0x008d2cf8,19.3071305244,5.34121096374
0x008dab18,19.335657357,5.34121096374
0x008cc400,20.4506704057,15.2074508364
0x008cc928,20.4243687705,15.2074508364
0x008efee8,20.606161626,6.24011017491
0x008d3908,19.5408934376,6.1799497312
0x008d3c78,20.5160141299,15.2074508364
0x008e4670,19.4079779637,6.18017950598
0x008d4a38,23.659096567,13.0698748944
0x008eaf48,23.8116711094,13.0698748944
0x008c5e98,18.9228920083,12.5954984759
0x008e5430,18.9228920083,12.5763318129
0x008d57f8,13.4631157345,6.45167868206
0x008efd30,2.72949471196,19.1684016528
0x008d6090,17.7673265205,17.9987930811
0x008dae88,17.947327799,17.9987930811
0x008e2378,17.7673265205,17.983957057
0x008d65b8,18.4290467917,20.7953287363
0x008e7bb8,18.4239681437,19.7428115689
0x008d7378,18.4873316344,17.9796992124
0x008e2908,0,0
0x008c2d28,7.69824079123,19.3241619209
0x008d8818,20.6883590969,6.23477050604
0x008d8b88,24.2694837404,13.0489936473
0x008d5b68,19.4212544959,5.3501952402
0x008defe8,19.4212544959,5.33222668728
0x008c6aa0,18.4873316344,18.0030509257
0x008e6df8,18.4873316344,17.9945352366
0x008db3b0,18.2955509008,19.1996375066
0x008e7d70,18.1459194197,19.2005566057
0x008dba90,24.2694837404,13.0782793543
0x008dbe00,0,0
0x008d4da8,0,0
0x008dc178,18.4777190002,6.18468492368
0x0089c5d0,18.9607615546,6.18595188763
0x008dc6a0,18.9607615546,6.18341777495
0x008dca10,18.9228920083,12.5619595983
0x008de070,18.4873316344,17.9733788774
0x008dfa38,10.3777935296,19.1445456242
0x008dfda8,11.1762150404,19.2047601326
0x0089c418,11.172906664,19.0832363066
0x008e0ed8,24.2694837404,13.1075638359
0x008e3a68,19.0998676921,12.5523748755
0x008ee1b0,18.7531806189,12.4421504714
0x008e1e50,19.1620139601,12.6194554132
0x008b8478,19.4011268909,12.6290387447
0x008e9210,19.0998676921,12.6194554132
0x008e21c0,17.947327799,17.983957057
0x0089e830,18.4873316344,17.9882149015
0x008c5448,18.4873316344,17.9796992124
0x008f3cd0,15.3175151687,13.1071451394
0x008e31a0,20.7793873907,6.22123599788
0x008e36c8,11.172906664,19.0832363066
0x008e7a00,12.761768953,18.725220168
0x008c9ac0,18.9228920083,12.5619595983
0x008da0c8,18.9228920083,12.5427915441
0x008e3dd8,18.4873316344,17.9882149015
0x008e4b98,18.9925155346,15.3517479542
0x008ee6d8,19.1620139601,12.6533810745
0x008e55e8,19.4011268909,12.5954984759
0x008ef2e0,19.5736371367,12.5956236936
0x008ef650,6.76620730614,18.8760200041
0x008e5958,24.2694837404,13.0907561415
0x008e5b10,19.335657357,5.37251575672
0x008c4f20,19.4212544959,5.38150003318
0x008cb640,19.4212544959,5.3635327903
0x008e5e80,18.9228920083,12.5954984759
0x008e6038,12.8181854773,19.2333468184
0x008e6718,18.9925155346,15.45474112
0x0089df98,18.9925155346,15.3517479542
0x008e2e30,12.761768953,18.6527329832
0x008e9aa8,15.6353260458,19.2160055806
0x008e8608,19.4212544959,5.3501952402
0x008e2008,18.8596541887,12.6098720818
0x008e6c40,18.9228920083,12.6290387447
0x008edff8,18.5614979321,19.1980020508
0x008c6730,18.4873316344,17.9648631883
0x008c74f0,18.4873316344,17.9733788774
0x008e9c60,15.6523903032,18.7053919562
